Name,Team,Number,Position,Age,Height,Weight,College,Salary,height
Jonathon Simmons,San Antonio Spurs,17,SG,26,06-Jun,195,Houston,525093.0,168
David West,San Antonio Spurs,30,PF,35,06-Sep,250,Xavier,1499187.0,160
Kent Bazemore,Atlanta Hawks,24,SF,26,06-May,201,Old Dominion,2000000.0,161
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,06-Jun,205,Michigan,1304520.0,177
Kirk Hinrich,Atlanta Hawks,12,SG,35,06-Apr,190,Kansas,2854940.0,169
Al Horford,Atlanta Hawks,15,C,30,06-Oct,245,Florida,12000000.0,161
Kris Humphries,Atlanta Hawks,43,PF,31,06-Sep,235,Minnesota,1000000.0,164
Kyle Korver,Atlanta Hawks,26,SG,35,06-Jul,212,Creighton,5746479.0,156
Paul Millsap,Atlanta Hawks,4,PF,31,06-Aug,246,Louisiana Tech,18671659.0,171
Mike Muscala,Atlanta Hawks,31,PF,24,06-Nov,240,Bucknell,947276.0,171
Lamar Patterson,Atlanta Hawks,13,SG,24,06-May,225,Pittsburgh,525093.0,161
Dennis Schroder,Atlanta Hawks,17,PG,22,06-Jan,172,,1763400.0,170
Mike Scott,Atlanta Hawks,32,PF,27,06-Aug,237,Virginia,3333333.0,158
Thabo Sefolosha,Atlanta Hawks,25,SF,32,06-Jul,220,,4000000.0,157
Tiago Splitter,Atlanta Hawks,11,C,31,06-Nov,245,,9756250.0,162
Walter Tavares,Atlanta Hawks,22,C,24,07-Mar,260,,1000000.0,164
Jeff Teague,Atlanta Hawks,0,PG,27,06-Feb,186,Wake Forest,8000000.0,180
Nicolas Batum,Charlotte Hornets,5,SG,27,06-Aug,200,,13125306.0,153
Troy Daniels,Charlotte Hornets,30,SG,24,06-Apr,205,Virginia Commonwealth,947276.0,177
Jorge Gutierrez,Charlotte Hornets,12,PG,27,06-Mar,189,California,189455.0,151
Tyler Hansbrough,Charlotte Hornets,50,PF,30,06-Sep,250,North Carolina,947276.0,170
Aaron Harrison,Charlotte Hornets,9,SG,21,06-Jun,210,Kentucky,525093.0,158
Spencer Hawes,Charlotte Hornets,0,PF,28,07-Jan,245,Washington,6110034.0,179
Al Jefferson,Charlotte Hornets,25,C,31,06-Oct,289,,13500000.0,159
Frank Kaminsky III,Charlotte Hornets,44,C,23,7-0,240,Wisconsin,2612520.0,167
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,06-Jul,232,Kentucky,6331404.0,180
Jeremy Lamb,Charlotte Hornets,3,SG,24,06-May,185,Connecticut,3034356.0,160
Courtney Lee,Charlotte Hornets,1,SG,30,06-May,200,Western Kentucky,5675000.0,171
Jeremy Lin,Charlotte Hornets,7,PG,27,06-Mar,200,Harvard,2139000.0,154
Kemba Walker,Charlotte Hornets,15,PG,26,06-Jan,184,Connecticut,12000000.0,160
Marvin Williams,Charlotte Hornets,2,PF,29,06-Sep,237,North Carolina,7000000.0,153
Cody Zeller,Charlotte Hornets,40,C,23,7-0,240,Indiana,4204200.0,172
Chris Bosh,Miami Heat,1,PF,32,06-Nov,235,Georgia Tech,22192730.0,151
Luol Deng,Miami Heat,9,SF,31,06-Sep,220,Duke,10151612.0,173
Goran Dragic,Miami Heat,7,PG,30,06-Mar,190,,14783000.0,177
Gerald Green,Miami Heat,14,SF,30,06-Jul,205,,947276.0,180
Udonis Haslem,Miami Heat,40,PF,36,06-Aug,235,Florida,2854940.0,159
Joe Johnson,Miami Heat,2,SF,34,06-Jul,240,Arkansas,261894.0,170
Tyler Johnson,Miami Heat,8,SG,24,06-Apr,186,Fresno State,845059.0,174
Josh McRoberts,Miami Heat,4,PF,29,06-Oct,240,Duke,5543725.0,166
Josh Richardson,Miami Heat,0,SG,22,06-Jun,200,Tennessee,525093.0,159
Amar'e Stoudemire,Miami Heat,5,PF,33,06-Oct,245,,947276.0,176
Dwyane Wade,Miami Heat,3,SG,34,06-Apr,220,Marquette,20000000.0,168
Briante Weber,Miami Heat,12,PG,23,06-Feb,165,Virginia Commonwealth,,174
Hassan Whiteside,Miami Heat,21,C,26,7-0,265,Marshall,981348.0,152
Justise Winslow,Miami Heat,20,SF,20,06-Jul,225,Duke,2481720.0,157
Dorell Wright,Miami Heat,11,SF,30,06-Sep,205,,,159
Dewayne Dedmon,Orlando Magic,3,C,26,7-0,245,USC,947276.0,179
Evan Fournier,Orlando Magic,10,SG,23,06-Jul,205,,2288205.0,171
Aaron Gordon,Orlando Magic,0,PF,20,06-Sep,220,Arizona,4171680.0,169
Mario Hezonja,Orlando Magic,23,SG,21,06-Aug,218,,3741480.0,158
Ersan Ilyasova,Orlando Magic,7,PF,29,06-Oct,235,,7900000.0,169
Brandon Jennings,Orlando Magic,55,PG,26,06-Jan,169,,8344497.0,170
Devyn Marble,Orlando Magic,11,SF,23,06-Jun,200,Iowa,845059.0,161
Shabazz Napier,Orlando Magic,13,PG,24,06-Jan,175,Connecticut,1294440.0,171
Andrew Nicholson,Orlando Magic,44,PF,26,06-Sep,250,St. Bonaventure,2380593.0,157
Victor Oladipo,Orlando Magic,5,SG,24,06-Apr,210,Indiana,5192520.0,162
Elfrid Payton,Orlando Magic,4,PG,22,06-Apr,185,Louisiana-Lafayette,2505720.0,151
Jason Smith,Orlando Magic,14,PF,30,7-0,240,Colorado State,4300000.0,177
Nikola Vucevic,Orlando Magic,9,C,25,7-0,260,USC,11250000.0,155
C.J. Watson,Orlando Magic,32,PG,32,06-Feb,175,Tennessee,5000000.0,176
Alan Anderson,Washington Wizards,6,SG,33,06-Jun,220,Michigan State,4000000.0,163
Bradley Beal,Washington Wizards,3,SG,22,06-May,207,Florida,5694674.0,172
Jared Dudley,Washington Wizards,1,SF,30,06-Jul,225,Boston College,4375000.0,176
Jarell Eddie,Washington Wizards,8,SG,24,06-Jul,218,Virginia Tech,561716.0,164
Drew Gooden,Washington Wizards,90,PF,34,06-Oct,250,Kansas,3300000.0,168
Marcin Gortat,Washington Wizards,13,C,32,06-Nov,240,,11217391.0,176
JJ Hickson,Washington Wizards,21,C,27,06-Sep,242,North Carolina State,273038.0,157
Nene Hilario,Washington Wizards,42,C,33,06-Nov,250,,13000000.0,172
Markieff Morris,Washington Wizards,5,PF,26,06-Oct,245,Kansas,8000000.0,159
Kelly Oubre Jr.,Washington Wizards,12,SF,20,06-Jul,205,Kansas,1920240.0,178
Otto Porter Jr.,Washington Wizards,22,SF,23,06-Aug,198,Georgetown,4662960.0,156
Ramon Sessions,Washington Wizards,7,PG,30,06-Mar,190,Nevada,2170465.0,157
Garrett Temple,Washington Wizards,17,SG,30,06-Jun,195,LSU,1100602.0,179
Marcus Thornton,Washington Wizards,15,SF,29,06-Apr,205,LSU,200600.0,164
John Wall,Washington Wizards,2,PG,25,06-Apr,195,Kentucky,15851950.0,159
Darrell Arthur,Denver Nuggets,0,PF,28,06-Sep,235,Kansas,2814000.0,175
D.J. Augustin,Denver Nuggets,12,PG,28,6-0,183,Texas,3000000.0,151
Will Barton,Denver Nuggets,5,SF,25,06-Jun,175,Memphis,3533333.0,153
Wilson Chandler,Denver Nuggets,21,SF,29,06-Aug,225,DePaul,10449438.0,151
Kenneth Faried,Denver Nuggets,35,PF,26,06-Aug,228,Morehead State,11235955.0,166
Danilo Gallinari,Denver Nuggets,8,SF,27,06-Oct,225,,14000000.0,160
Gary Harris,Denver Nuggets,14,SG,21,06-Apr,210,Michigan State,1584480.0,173
Nikola Jokic,Denver Nuggets,15,C,21,06-Oct,250,,1300000.0,180
Joffrey Lauvergne,Denver Nuggets,77,C,24,06-Nov,220,,1709719.0,159
Mike Miller,Denver Nuggets,3,SG,36,06-Aug,218,Florida,947276.0,159
Emmanuel Mudiay,Denver Nuggets,0,PG,20,06-May,200,,3102240.0,175
Jameer Nelson,Denver Nuggets,1,PG,34,6-0,190,Saint Joseph's,4345000.0,154
Jusuf Nurkic,Denver Nuggets,23,C,21,7-0,280,,1842000.0,167
JaKarr Sampson,Denver Nuggets,9,SG,23,06-Sep,214,St. John's,258489.0,155
Axel Toupane,Denver Nuggets,6,SG,23,06-Jul,210,,,158
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,06-Oct,240,,3950001.0,161
Gorgui Dieng,Minnesota Timberwolves,5,C,26,06-Nov,241,Louisville,1474440.0,165
Kevin Garnett,Minnesota Timberwolves,21,PF,40,06-Nov,240,,8500000.0,161
Tyus Jones,Minnesota Timberwolves,1,PG,20,06-Feb,195,Duke,1282080.0,178
Zach LaVine,Minnesota Timberwolves,8,PG,21,06-May,189,UCLA,2148360.0,180
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,06-Jun,223,UCLA,2056920.0,165
Adreian Payne,Minnesota Timberwolves,33,PF,25,06-Oct,237,Michigan State,1938840.0,170
Nikola Pekovic,Minnesota Timberwolves,14,C,30,06-Nov,307,,12100000.0,154
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,06-Sep,212,Kentucky,947276.0,178
Ricky Rubio,Minnesota Timberwolves,9,PG,25,06-Apr,194,,12700000.0,167
Damjan Rudez,Minnesota Timberwolves,10,SF,29,06-Sep,230,,1149500.0,164
Greg Smith,Minnesota Timberwolves,4,PF,25,06-Oct,250,Fresno State,,153
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,7-0,244,Kentucky,5703600.0,166
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,06-Aug,199,Kansas,5758680.0,176
Steven Adams,Oklahoma City Thunder,12,C,22,7-0,255,Pittsburgh,2279040.0,151
Nick Collison,Oklahoma City Thunder,4,PF,35,06-Oct,255,Kansas,3750000.0,158
Kevin Durant,Oklahoma City Thunder,35,SF,27,06-Sep,240,Texas,20158622.0,180
Randy Foye,Oklahoma City Thunder,6,SG,32,06-Apr,213,Villanova,3135000.0,162
Josh Huestis,Oklahoma City Thunder,34,SF,24,06-Jul,230,Stanford,1140240.0,161
Serge Ibaka,Oklahoma City Thunder,9,PF,26,06-Oct,245,,12250000.0,174
Enes Kanter,Oklahoma City Thunder,11,C,24,06-Nov,245,Kentucky,16407500.0,150
Mitch McGary,Oklahoma City Thunder,33,PF,24,06-Oct,255,Michigan,1463040.0,159
Nazr Mohammed,Oklahoma City Thunder,13,C,38,06-Oct,250,Kentucky,222888.0,155
Anthony Morrow,Oklahoma City Thunder,2,SG,30,06-May,210,Georgia Tech,3344000.0,165
Cameron Payne,Oklahoma City Thunder,22,PG,21,06-Mar,185,Murray State,2021520.0,172
Andre Roberson,Oklahoma City Thunder,21,SG,24,06-Jul,210,Colorado,1210800.0,174
Kyle Singler,Oklahoma City Thunder,5,SF,28,06-Aug,228,Duke,4500000.0,154
Dion Waiters,Oklahoma City Thunder,3,SG,24,06-Apr,220,Syracuse,5138430.0,150
Russell Westbrook,Oklahoma City Thunder,0,PG,27,06-Mar,200,UCLA,16744218.0,176
Cliff Alexander,Portland Trail Blazers,34,PF,20,06-Aug,240,Kansas,525093.0,179
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,06-Sep,215,Wake Forest,8042895.0,162
Pat Connaughton,Portland Trail Blazers,5,SG,23,06-May,206,Notre Dame,625093.0,152
Allen Crabbe,Portland Trail Blazers,23,SG,24,06-Jun,210,California,947276.0,160
Ed Davis,Portland Trail Blazers,17,C,27,06-Oct,240,North Carolina,6980802.0,152
Maurice Harkless,Portland Trail Blazers,4,SF,23,06-Sep,215,St. John's,2894059.0,155
Gerald Henderson,Portland Trail Blazers,9,SG,28,06-May,215,Duke,6000000.0,152
Chris Kaman,Portland Trail Blazers,35,C,34,7-0,265,Central Michigan,5016000.0,162
Meyers Leonard,Portland Trail Blazers,11,PF,24,07-Jan,245,Illinois,3075880.0,170
Damian Lillard,Portland Trail Blazers,0,PG,25,06-Mar,195,Weber State,4236287.0,151
C.J. McCollum,Portland Trail Blazers,3,SG,24,06-Apr,200,Lehigh,2525160.0,171
Luis Montero,Portland Trail Blazers,44,SG,23,06-Jul,185,Westchester CC,525093.0,171
Mason Plumlee,Portland Trail Blazers,24,C,26,06-Nov,235,Duke,1415520.0,164
Brian Roberts,Portland Trail Blazers,2,PG,30,06-Jan,173,Dayton,2854940.0,158
Noah Vonleh,Portland Trail Blazers,21,PF,20,06-Sep,240,Indiana,2637720.0,161
Trevor Booker,Utah Jazz,33,PF,28,06-Aug,228,Clemson,4775000.0,177
Trey Burke,Utah Jazz,3,PG,23,06-Jan,191,Michigan,2658240.0,178
Alec Burks,Utah Jazz,10,SG,24,06-Jun,214,Colorado,9463484.0,169
Dante Exum,Utah Jazz,11,PG,20,06-Jun,190,,3777720.0,151
Derrick Favors,Utah Jazz,15,PF,24,06-Oct,265,Georgia Tech,12000000.0,159
Rudy Gobert,Utah Jazz,27,C,23,07-Jan,245,,1175880.0,178
Gordon Hayward,Utah Jazz,20,SF,26,06-Aug,226,Butler,15409570.0,178
Rodney Hood,Utah Jazz,5,SG,23,06-Aug,206,Duke,1348440.0,164
Joe Ingles,Utah Jazz,2,SF,28,06-Aug,226,,2050000.0,158
Chris Johnson,Utah Jazz,23,SF,26,06-Jun,206,Dayton,981348.0,163
Trey Lyles,Utah Jazz,41,PF,20,06-Oct,234,Kentucky,2239800.0,168
Shelvin Mack,Utah Jazz,8,PG,26,06-Mar,203,Butler,2433333.0,162
Raul Neto,Utah Jazz,25,PG,24,06-Jan,179,,900000.0,167
Tibor Pleiss,Utah Jazz,21,C,26,07-Mar,256,,2900000.0,172
Jeff Withey,Utah Jazz,24,C,26,7-0,231,Kansas,947276.0,165
Priyanka,Utah Jazz,34,C,25,07-Mar,231,Kansas,947276.0,153
